"";"cargo";"Nome";"Nome_urna";"Partido";"Coligacao";"Profissao";"idade";"sexo";"grau_inst";"estado_civil";"cor";"status_eleitoral"
"3359";"VEREADOR";"SEVERINO PEREIRA FRANQLIN DA SILVA";"BIU DE MATA LIMPA";"PSD";"PMDB / PRB / PTB / PSC / PSD";"MECÂNICO DE MANUTENÇÃO";35;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3360";"VEREADOR";"MARGARIDA CARREIRO DE ALMEIDA";"MARGARIDA";"PSB";"PSB / PTB / PR";"AGRICULTOR";52;"FEMININO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3361";"VEREADOR";"JOSEVAN FRANCISCO DOS SANTOS";"DANDA";"PP";"PP / PROS / PSB";"VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA";33;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3362";"VEREADOR";"HAROLDO JOSÉ DE SOUSA MELO";"HAROLDO DA VILA";"PTB";"PRB / PTB / PSD / PT do B";"AGENTE DE SAÚDE E SANITARISTA";42;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3363";"VEREADOR";"JOSE CARLOS DOS SANTOS";"JOSÉ CARLOS";"PSTU";"PSTU";"OUTROS";42;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"PARDA";"#NULO#"
"3364";"VEREADOR";"JOSÉ GALDINO DA SILVA";"JULINHO";"PSDB";"PSDB / PP / PRB / PSL / PTC";"AGRICULTOR";54;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3365";"VEREADOR";"NILTON CEZAR SARMENTO";"ZAGALO";"PRB";"PV / PRB";"OUTROS";41;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"PARDA";"NÃO ELEITO"
"3366";"VEREADOR";"GILSON FÁBIO DUARTE";"GILSON DUARTE";"PSB";"PTB / PSL / PSB / PV / PT do B / PP";"VEREADOR";41;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"3367";"VEREADOR";"ILANIA MARIA GUEDES ROLIM";"ILANIA";"DEM";"PR / DEM / PMN / PEN";"SERVIDOR PÚBLICO MUNICIPAL";52;"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"3368";"VEREADOR";"ANA CLAUDIA BARBOSA PEREIRA";"ANA CLAUDIA";"PSC";"PSC / PRP / PSB";"OPERADOR DE COMPUTADOR";27;"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"3369";"VEREADOR";"TAYNÁ DA COSTA NÓBREGA";"TAYNÁ";"PR";"PP / PR";"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS";21;"FEMININO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"3370";"VEREADOR";"CLAUDIO ROGERIO DE OLIVEIRA";"ROGERIO DA SAÚDE";"PRB";"PRB / PSC / PT do B";"OCUPANTE DE CARGO EM COMISSÃO";43;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SEPARADO(A) JUDICIALMENTE";"PARDA";"SUPLENTE"
"3371";"VEREADOR";"LUIZ PINTO CAVALCANTE FILHO";"LUIZ PINTO";"PP";"PP / PT";"AGRICULTOR";59;"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PARDA";"SUPLENTE"
"3372";"VEREADOR";"ADRIANA DE ALCANTARA LIMA BARROS";"ADRIANA LIMA";"PRB";"PRB / PMB / PMN";"RECEPCIONISTA";42;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3373";"VEREADOR";"SEVERINA BARBOSA DE OLIVEIRA";"MARIA PARAÍBA";"PSD";"PSD / PHS / PSDB / PTN";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";59;"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"3374";"VEREADOR";"ROBERTO COELHO DA COSTA";"ROBERTO ANISIO";"PSB";"PT do B / PSL / PROS / PC do B / PTB / PSB / PT / PPS / PMB";"EMPRESÁRIO";48;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"3375";"VEREADOR";"RODRIGO ALVES";"RODRIGO DA CARNE";"PSB";"PT do B / PSL / PROS / PC do B / PTB / PSB / PT / PPS / PMB";"EMPRESÁRIO";35;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"3376";"VEREADOR";"RENATA DE OLIVEIRA COSTA GOMES";"RENATINHA";"PSB";"PT do B / PSL / PROS / PC do B / PTB / PSB / PT / PPS / PMB";"ADMINISTRADOR";29;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3377";"VEREADOR";"JEOVÁ RODRIGUES OLIVEIRA";"JEOVÁ";"PDT";"PDT / PSB";"AGRICULTOR";44;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3378";"VEREADOR";"MARIA SOCORRO BARREIRO GOMES RUFINO";"BITINHA DE MÁRCIO RODÃO";"PMDB";"PMDB / PTN / PTB / PHS / PSB";"COMERCIANTE";60;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3379";"VEREADOR";"MARIA GILTANIA LUCENA DE OLIVEIRA";"MARIA GILTANIA";"PP";"PT / PDT / PP / PPS / PSL";"VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA";29;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3380";"VEREADOR";"JOSE WILLIAM DE QUEIROGA GOMES";"JOSE WILLIAM";"PDT";"PT / PDT / PP / PPS / PSL";"VEREADOR";72;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3381";"VEREADOR";"IRINEU EMIDIO DOS SANTOS";"IRINEU";"PSB";"PSB / PRB / PTB / PMB / PV";"GERENTE";35;"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3382";"VEREADOR";"WESLEY KAYKE DE SOUSA";"WESLEY KAYKE";"PSB";"PSB / PRB / PTB / PMB / PV";"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS";24;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3383";"VEREADOR";"FRANCISCA ANUARIA DE SENA GONÇALVES SOARES";"ANUÁRIA";"PMDB";"PMDB / PR";"AGRICULTOR";32;"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3384";"VEREADOR";"TEREZA CRISTINA DA SILVA";"TEREZA CRISTINA";"PSB";"PSB";"JOALHEIRO E OURIVES";44;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3385";"VEREADOR";"FRANCISCO BATISTA DOS SANTOS";"UDIR SANTOS";"PSDB";"PSDB / DEM / PT / PSC / PPS / PTN";"VEREADOR";45;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"3386";"VEREADOR";"IRANEIDE SANTANA GUEDES";"IRANEIDE";"PR";"PSD / DEM / PR";"DONA DE CASA";47;"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3387";"VEREADOR";"IVANISE CORREIA DE OLIVEIRA";"IVANISE CORREIA DE OLIVEIRA";"PR";"PR / PRB / PRTB / PSD / PV / PT";"SERVIDOR PÚBLICO MUNICIPAL";49;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"NÃO ELEITO"
"3388";"VEREADOR";"BARTOLOMEU PINHEIRO DA NOBREGA JUNIOR";"JUNIOR DE BARTO";"DEM";"PV / PT / PTC / DEM / PTB / PMDB / SD";"VEREADOR";47;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR QP"
"3389";"VEREADOR";"ALMIR OLIVEIRA DE LIMA";"MIKA";"PMDB";"PMDB / PSD / PT / PSB / PP / PSDB";"EMPRESÁRIO";30;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"3390";"VEREADOR";"CARLOS ARTUR MONTEIRO ERNESTO DE MELO";"ARTUR";"PTN";"PTN / PR";"TRABALHADOR DOS SERVIÇOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS";36;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"NÃO ELEITO"
"3391";"VEREADOR";"MARIA DO SOCORRO GOMES DA SILVA";"SOCORRO";"PSDB";"PSDB / PTB / PMDB / PTN / PV / PR / PSD";"AGRICULTOR";36;"FEMININO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"PRETA";"SUPLENTE"
"3392";"VEREADOR";"RAFAEL SOUSA DE AZEVEDO";"RAFAEL AZEVEDO";"PT do B";"PT do B / PSL";"COMERCIANTE";25;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"NÃO ELEITO"
"3393";"VEREADOR";"LEONALDO MATIAS VIANA";"LEO MECANICO";"PSL";"PT do B / PSL";"AGRICULTOR";26;"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"PARDA";"NÃO ELEITO"
"3394";"VEREADOR";"JOAO ALFREDO CAVALCANTE DE ANDRADE";"JOAO DOS CORREIOS";"PSDB";"PSDB / SD";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";61;"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3395";"VEREADOR";"MARIA DO SOCORRO NOBERTO DE SOUSA";"SOCORRO DE ZACARIAS";"PSDB";"PSDB / SD";"AGRICULTOR";42;"FEMININO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3396";"VEREADOR";"ANDERSON MARCELO DA SILVEIRA MIRANDA";"MARCELO DE SOLENE";"PSL";"PRB / PP / PSL / PPS / PHS";"SERVIDOR PÚBLICO MUNICIPAL";28;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3397";"VEREADOR";"FRANCISCO DAS CHAGAS SILVA";"CHAGUINHA";"PDT";"PT / PDT / PP / PPS / PSL";"OUTROS";52;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3398";"VEREADOR";"GUILHERME DELFINO DA SILVA NETO";"GUILHERMINHO";"PV";"PV / PRTB / PT do B";"OUTROS";18;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"3399";"VEREADOR";"ISMAEL BENTO DA SILVA";"ISMAEL";"PSL";"PRB / PSC / PEN / PSL / DEM";"MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS";39;"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3400";"VEREADOR";"CARLOS ANTONIO PORPINO DA CRUZ";"CARLINHOS";"PP";"PP / PMDB / PR";"OUTROS";33;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"ELEITO POR MÉDIA"
"3401";"VEREADOR";"JONATHAS ARRUDA DE ALBUQUERQUE";"ARRUDA";"PRB";"PRB";"COMERCIANTE";55;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3402";"VEREADOR";"VALDECI DE MOURA DA SILVA";"TITA";"PRB";"PRB";"COMERCIANTE";46;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3403";"VEREADOR";"EDJANE DA SILVA VICENTE";"EDAJANE SILVA";"PRB";"PRB";"TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO)";42;"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3404";"VEREADOR";"ABRAAO CANDIDO DE MEDEIROS";"ABRÃAO";"PP";"PP / PTB / PSDB / PSD / PT";"VIGILANTE";50;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SEPARADO(A) JUDICIALMENTE";"PARDA";"SUPLENTE"
"3405";"VEREADOR";"COSMO LOPES DA SILVA";"COSMO LOPES";"DEM";"DEM / PMB";"OPERADOR DE IMPLEMENTO DE AGRICULTURA, PECUÁRIA E EXPLORAÇÃO FLORESTAL";34;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PRETA";"NÃO ELEITO"
"3406";"VEREADOR";"AFONSO ALEXANDRE REGIS CAVALCANTE";"SGT REGIS";"PSC";"PTB / PSC";"VEREADOR";50;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3407";"VEREADOR";"NAILDA GOMES DA SILVA";"MULHER GUERREIRA";"PSC";"PTB / PSC";"DONA DE CASA";50;"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3408";"VEREADOR";"CARINA PATRICIA FERRAZ RABELO SOUSA";"CARINA RABÊLO";"PDT";"PSDB / PSB / PDT / PP / PMDB / PSDC / DEM / PSD / PSL";"PROFESSOR DE ENSINO MÉDIO";36;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3409";"VEREADOR";"MARIA VERONICA CANDIDO SOBRINHO";"VERÔNICA DO SOPÃO";"PRTB";"PRTB";"SERVIDOR PÚBLICO MUNICIPAL";48;"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"#NULO#"
"3410";"VEREADOR";"EDNALDO SEVERINO GOMES";"TEINHA";"PMDB";"PTB / PMDB / PSD";"COMERCIANTE";43;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3411";"VEREADOR";"CEDRIC BATISTA DA SILVA";"CEDRIC";"PP";"PP / SD";"POLICIAL MILITAR";34;"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PARDA";"SUPLENTE"
"3412";"VEREADOR";"MARCOS JOSE DE ARAUJO";"NINHA DE POÇO DE PAU";"PTB";"PTB / PMDB / PSD";"AGRICULTOR";41;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"ELEITO POR QP"
"3413";"VEREADOR";"MARIA DE LOURDES ROSENDO DA SILVA";"KENA";"PTB";"PTB";"OUTROS";35;"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"INDÍGENA";"SUPLENTE"
"3414";"VEREADOR";"ADNAIR MARIA DE MACEDO";"ADNAIR";"REDE";"PTB / PT / PT do B / PSD / REDE";"AGRICULTOR";19;"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3415";"VEREADOR";"ELISSANDRO DE ALBUQUERQUE";"SANDRO";"PT";"PT / PDT / PTB / DEM / PMB / PSB / PSD";"AGENTE DE SAÚDE E SANITARISTA";37;"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3416";"VEREADOR";"MARIA LUCIA DE LIMA SILVA";"IRMÃ LUCIA";"PTB";"PT / PDT / PTB / DEM / PMB / PSB / PSD";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";66;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3417";"VEREADOR";"MARCUS VINICIUS ALVES RIBEIRO";"MARQUINHOS ALVES";"PMDB";"PSB / PRB / PT / PDT / PMDB";"COMERCIANTE";28;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3418";"VEREADOR";"DÉBORAH SUELDA RODRIGUES DA SILVA";"DÉBORAH SUELDA";"PSD";"PSD / PHS / PSDB / PTN";"JORNALISTA E REDATOR";31;"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3419";"VEREADOR";"JOSE RONALDO DA COSTA LIMA";"RONALDO";"PSOL";"PSOL";"AGRICULTOR";48;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PRETA";"NÃO ELEITO"
"3420";"VEREADOR";"MARIA DANTAS DE MEDEIROS";"MARIA DANTAS";"PMDB";"PMDB / PSD / PTB / PROS";"OUTROS";69;"FEMININO";"SUPERIOR COMPLETO";"VIÚVO(A)";"BRANCA";"SUPLENTE"
"3421";"VEREADOR";"ADELSON DE ASSIS BRANDAO";"ADELSON BRANDÃO";"PC do B";"PC do B / PSDC";"OUTROS";41;"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3422";"VEREADOR";"CARLOS GUSTAVO GOMES DE OLIVEIRA";"GUGA";"PC do B";"PC do B / PSDC";"OUTROS";36;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3423";"VEREADOR";"JOÃO BATISTA DA COSTA";"BATISTA DA AMBULANCIA";"PSDB";"PP / PMDB / PSDB / PTN";"SERVIDOR PÚBLICO MUNICIPAL";55;"MASCULINO";"LÊ E ESCREVE";"CASADO(A)";"BRANCA";"SUPLENTE"
"3424";"VEREADOR";"MANOEL GALDINO DE PONTES";"NENO";"PSL";"PRTB / PSL / PP";"AGRICULTOR";51;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3425";"VEREADOR";"ROBSON RENAN DE OLIVEIRA SILVA";"RENAN";"SD";"PSDB / PTB / PSC / SD";"VEREADOR";23;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"ELEITO POR QP"
"3426";"VEREADOR";"EMANUEL DE AZEVEDO SOARES";"EMANUEL DE MINININHO";"PSDB";"PSDB / PTB / PSC / SD";"VEREADOR";43;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"ELEITO POR QP"
"3427";"VEREADOR";"DJANIR FERREIRA MONTENEGRO SANTOS";"LELA";"PC do B";"PC do B / PMDB / PSB";"SERVIDOR PÚBLICO MUNICIPAL";45;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3428";"VEREADOR";"ANA IRIS DE MACEDO CAVALCANTI";"ANA IRIS";"PSDB";"PMDB / PSDB / PTB / DEM / PV / PR";"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS";64;"FEMININO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PARDA";"SUPLENTE"
"3429";"VEREADOR";"LUCIANA OLIVEIRA SANTOS";"LUCIANA OLIVEIRA";"PTN";"PTN";"DONA DE CASA";38;"FEMININO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3430";"VEREADOR";"CLOVIS ALVES DE OLIVEIRA FIHO";"CLOVIS DE LOI";"PR";"PR";"COMERCIANTE";49;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"NÃO ELEITO"
"3431";"VEREADOR";"JOSE EZEQUIEL BARBOSA LOPES";"PROFESSOR QUIEL";"PTB";"PDT / PC do B / PTB";"PROFESSOR DE ENSINO MÉDIO";46;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3432";"VEREADOR";"ERALDO AVELINO DE FARIAS";"ERALDO AVELINO";"PP";"PP / DEM / PDT / PC do B / PHS";"AGRICULTOR";55;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3433";"VEREADOR";"FLAVIO JOSE DA SILVA";"FLAVIO";"PT do B";"PSB / PT do B";"SERVIDOR PÚBLICO MUNICIPAL";39;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3434";"VEREADOR";"JOSE ALEX MELO";"ALEX MELO";"PMDB";"PMDB / PT";"AGRICULTOR";48;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3435";"VEREADOR";"ANDREA ANDRADE DE SANTANA";"ANDREIA ANDRADE";"PT";"PMDB / PT";"AGRICULTOR";33;"FEMININO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"3436";"VEREADOR";"RICARDO PONTES WANDERLEY";"RICARDO WANDERLEY";"PSDB";"PSDB / SD / PRB";"VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA";34;"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"BRANCA";"SUPLENTE"
"3437";"VEREADOR";"RAFAEL DA SILVA";"RAFAEL SILVA";"PRB";"PRB / PMB / PMN";"OUTROS";32;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3438";"VEREADOR";"JOSÉ FRANCISCO DA SILVA";"ZÉ FRANÇA";"PT do B";"PT do B / PTB / PRTB / PMDB";"AGRICULTOR";63;"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3439";"VEREADOR";"NOTLIN FREIRE FERNANDES DO AMARANTE";"NOTLIN";"PTB";"PT do B / PTB / PRTB / PMDB";"SERVIDOR PÚBLICO ESTADUAL";34;"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"ELEITO POR QP"
"3440";"VEREADOR";"PAULO PEREIRA PEQUENO";"PAULO PEREIRA";"PR";"PR / PMDB / PC do B / PTB";"SERVIDOR PÚBLICO CIVIL APOSENTADO";69;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3441";"VEREADOR";"JUAREZ DE SOUZA ARCANJO";"JUAREZ ARCANJO";"PMDB";"PMDB / PRB / PSC / SD";"VEREADOR";39;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"SOLTEIRO(A)";"PARDA";"ELEITO POR QP"
"3442";"VEREADOR";"MARIA CECILIA DE CARVALHO PONTES LIMA";"CECILIA";"PMDB";"PMDB / PRB / PSC / SD";"AGRICULTOR";24;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3443";"VEREADOR";"ESDRAS GONÇALVES DE MIRANDA";"ESDRAS MIRANDA";"PPS";"PTB / PR / PSC / PPS / PMDB / PT / PRB / PMN / PMB";"ANALISTA DE SISTEMAS";43;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"SUPLENTE"
"3444";"VEREADOR";"AVANEIDE ALMEIDA DA SILVA";"AVANEIDE DE BOBO";"PR";"PDT / PR";"EMPRESÁRIO";34;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3445";"VEREADOR";"ADRIANA ALVES DE BRITO";"ADRIANA DE ZÉ DE LEONES";"PR";"PR / PT do B / PSB / PSL / PPS / PRB / PSDC / PV";"TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO)";35;"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"ELEITO POR QP"
"3446";"VEREADOR";"MANOEL ADEILSON FILHO";"PADIM";"PSB";"PR / PT do B / PSB / PSL / PPS / PRB / PSDC / PV";"VEREADOR";47;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"ELEITO POR MÉDIA"
"3447";"VEREADOR";"GINALDO DO NASCIMENTO MOUSINHO";"GINALDO MOUSINHO";"PMDB";"PMDB / PT / DEM / PRP / PSC / PSD / PROS";"AGRICULTOR";43;"MASCULINO";"LÊ E ESCREVE";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3448";"VEREADOR";"GILSON CÂNDIDO DA SILVA";"GILSON CÂNDIDO";"PSB";"PSB / PDT / DEM / PRTB / PTC / PV / PRP / PEN / PPL / PT do B / SD / PROS";"EMPRESÁRIO";47;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3449";"VEREADOR";"GERSON CÂNDIDO DE FARIAS";"GERSON DO GESSO";"PPL";"PSB / PDT / DEM / PRTB / PTC / PV / PRP / PEN / PPL / PT do B / SD / PROS";"TÉCNICO DE LABORATÓRIO E RAIOS X";55;"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PRETA";"SUPLENTE"
"3450";"VEREADOR";"JONAS JOVENTINO CONSTANCIO";"IRMAO JONAS CONSTANCIO";"DEM";"DEM / PMB";"OUTROS";45;"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"PARDA";"NÃO ELEITO"
"3451";"VEREADOR";"MARCELO SEVERINO DA SILVA";"MARCELO DO COCO";"DEM";"DEM / PMB";"OUTROS";38;"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"SOLTEIRO(A)";"PRETA";"NÃO ELEITO"
"3452";"VEREADOR";"WANDERLEY BEZERRA DOS SANTOS";"WANDERLEY DE MAGNATA";"DEM";"DEM / PMB";"OPERADOR DE APARELHOS DE PRODUÇÃO INDUSTRIAL";32;"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"NÃO ELEITO"
"3453";"VEREADOR";"ALEXANDRE FARIAS RODRIGUES PESSANHA";"ALEXANDRE FARIAS";"PTB";"PTB / PSC";"ADVOGADO";31;"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PARDA";"SUPLENTE"
"3454";"VEREADOR";"JOSÉ FERNANDO COSTA CARVALHO";"FERNANDO CARVALHO";"PTB";"PTB / PSC";"MILITAR REFORMADO";55;"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"SUPLENTE"
"3455";"VEREADOR";"FLAVIO LICARIÃO DOS SANTOS";"PROF. FLAVIO LICARIÃO";"PTB";"PTB / PSC";"PROFESSOR DE ENSINO FUNDAMENTAL";46;"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
"3456";"VEREADOR";"MARIA DE FÁTIMA CANUTO SILVA";"FÁTIMA CANUTO";"PSC";"PTB / PSC";"TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO)";58;"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"SUPLENTE"
